"Year","StockKeyLabel","FisheriesGuild","EcoRegion","EcoGuild","METRIC","stockValue"
1994,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.575
1995,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.75
1996,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.925
1997,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.934375
1998,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.259375
1999,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.2125
2000,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.4875
2001,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.45625
2002,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.475
2003,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.5625
2004,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.684375
2005,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.578125
2006,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.43125
2007,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.425
2008,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.25625
2009,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.8125
2010,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.56875
2011,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.1625
2012,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.353125
2013,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.625
2014,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.215625
2015,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.61875
2016,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.478125
2017,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.46875
2018,"whb.27.1-91214","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Arctic Ocean Ecoregion, Bay of Biscay and the Iberian Coast Ecoregion, Barents Sea Ecoregion, Celtic Seas Ecoregion, Faroes Ecoregion, Greenland Sea Ecoregion, Iceland Sea Ecoregion, Greater North Sea Ecoregion, Norwegian Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.41875
2001,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.002
2002,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.002
2003,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.554
2004,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.178
2005,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.225
2006,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.192
2007,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.479
2008,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.726
2009,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.535
2010,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.585
2011,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.5
2012,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.79
2013,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.937
2014,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",1.177
2015,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.402
2016,"boc.27.6-8","pelagic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion, Celtic Seas Ecoregion, Greater North Sea Ecoregion, Oceanic Northeast Atlantic Ecoregion - pelagic stocks","F_FMSY",0.609
1986,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.32124352331606
1987,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.3419689119171
1988,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.48704663212435
1989,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",3.24870466321244
1990,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.38341968911917
1991,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.03626943005181
1992,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",3.20725388601036
1993,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.62176165803109
1994,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.49740932642487
1995,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",3.12953367875648
1996,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.84974093264249
1997,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.86010362694301
1998,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.13471502590674
1999,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.2020725388601
2000,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.51813471502591
2001,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.79274611398964
2002,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.19170984455959
2003,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.6839378238342
2004,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.3160621761658
2005,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.97927461139896
2006,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.35233160621762
2007,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.89119170984456
2008,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.42487046632124
2009,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.55958549222798
2010,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.39896373056995
2011,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.37305699481865
2012,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.19689119170984
2013,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.5699481865285
2014,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.89119170984456
2015,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",2.27979274611399
2016,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",1.12953367875648
2017,"ldb.27.8c9a","benthic","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - benthic stocks","F_FMSY",0.917098445595855
1982,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",1.44
1983,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",1.768
1984,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",1.8
1985,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",1.676
1986,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",1.78
1987,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",2.036
1988,"hke.27.8c9a","demersal","Bay of Biscay and the Iberian Coast Ecoregion","Bay of Biscay and the Iberian Coast Ecoregion - demersal stocks","F_FMSY",2.612
